subj,roi,run,corr
GL14,SPL_M1,2,0.11069676526298575
GL14,SPL_M1,5,0.1529892932018349
GL14,SPL_S1,2,-0.10495101648092175
GL14,SPL_S1,5,0.11357520161029248
GL14,SPL_dorsal,2,0.6075668114057065
GL14,SPL_dorsal,5,0.4891473276316037
GL14,SPL_ventral,2,0.6268217459018607
GL14,SPL_ventral,5,0.5098216884902484
GL14,SPL_early,2,-0.06054856966595401
GL14,SPL_early,5,0.2725754476667722
GL15,SPL_PMd,2,0.3923001119047757
GL15,SPL_PMd,5,0.2922011051407747
GL15,SPL_M1,2,0.46383125026997246
GL15,SPL_M1,5,0.31422617043045065
GL15,SPL_S1,2,-0.36945911883685667
GL15,SPL_S1,5,-0.09311754692277854
GL15,SPL_dorsal,2,0.7049817294467584
GL15,SPL_dorsal,5,0.5080706310571684
GL15,SPL_ventral,2,0.6274055048855979
GL15,SPL_ventral,5,0.18071618371603496
GL15,SPL_early,2,-0.14520178982043977
GL15,SPL_early,5,-0.12105984324589995
GL16,SPL_PMd,2,0.34012170345144244
GL16,SPL_PMd,5,0.40874350939403525
GL16,SPL_M1,2,0.2948976257332405
GL16,SPL_M1,5,0.38114577515300635
GL16,SPL_S1,2,-0.07961497331787576
GL16,SPL_S1,5,-0.1789794556677899
GL16,SPL_dorsal,2,0.1972024639905948
GL16,SPL_dorsal,5,0.23152293312654598
GL16,SPL_ventral,2,0.18861692069543207
GL16,SPL_ventral,5,0.3987175661697821
GL16,SPL_early,2,0.09701815056124452
GL16,SPL_early,5,0.18369042289976847
GL17,SPL_PMd,2,0.3945965194664995
GL17,SPL_PMd,5,0.2423248880142886
GL17,SPL_M1,2,0.42482774186193395
GL17,SPL_M1,5,0.1456908691249756
GL17,SPL_S1,2,-0.02546101101716887
GL17,SPL_S1,5,0.021257638162229937
GL17,SPL_dorsal,2,0.5008814135709436
GL17,SPL_dorsal,5,0.25034413787529264
GL17,SPL_ventral,2,0.3549249713553596
GL17,SPL_ventral,5,0.12678572166776897
GL17,SPL_early,2,-0.05696284067865276
GL17,SPL_early,5,-0.02427629220119559
GL18,SPL_PMd,2,0.416282969708198
GL18,SPL_PMd,5,0.49789036889581506
GL18,SPL_M1,2,0.016197999199918472
GL18,SPL_M1,5,0.2122293648838039
GL18,SPL_S1,2,0.227872805677763
GL18,SPL_S1,5,-0.025271786296345685
GL18,SPL_dorsal,2,0.2844457781946127
GL18,SPL_dorsal,5,0.14252077183335515
GL18,SPL_ventral,2,0.1351202042958661
GL18,SPL_ventral,5,0.24862465142026008
GL18,SPL_early,2,0.07770565900689556
GL18,SPL_early,5,-0.024695514341418937
GL19,SPL_PMd,2,0.4462421022518974
GL19,SPL_PMd,5,0.14126794246901733
GL19,SPL_M1,2,0.3669638068436352
GL19,SPL_M1,5,0.2920861687010568
GL19,SPL_S1,2,-0.06779385621065778
GL19,SPL_S1,5,-0.24548316960692707
GL19,SPL_dorsal,2,0.6033304109994065
GL19,SPL_dorsal,5,0.4828091491133818
GL19,SPL_ventral,2,0.5073425924853155
GL19,SPL_ventral,5,0.20650689142902381
GL19,SPL_early,2,-0.13604516672605338
GL19,SPL_early,5,-0.027681414645669606
GL20,SPL_PMd,2,0.46476631062696067
GL20,SPL_PMd,5,0.41650565311772436
GL20,SPL_M1,2,0.2974597695633963
GL20,SPL_M1,5,0.23759580754227416
GL20,SPL_S1,2,0.02404841624334382
GL20,SPL_S1,5,-0.275520443373454
GL20,SPL_dorsal,2,0.5543642969018476
GL20,SPL_dorsal,5,0.5260834120757371
GL20,SPL_ventral,2,0.268655784743412
GL20,SPL_ventral,5,0.3580779862768198
GL20,SPL_early,2,-0.010663208722406853
GL20,SPL_early,5,0.06471280442602394
GL21,SPL_PMd,2,0.6219268817080951
GL21,SPL_PMd,5,0.6286988114321699
GL21,SPL_M1,2,0.6356143629588683
GL21,SPL_M1,5,0.6716905260898623
GL21,SPL_S1,2,0.06973794224399356
GL21,SPL_S1,5,-0.030982531290853887
GL21,SPL_dorsal,2,0.72297490188396
GL21,SPL_dorsal,5,0.6341688770966111
GL21,SPL_ventral,2,0.6060455285360494
GL21,SPL_ventral,5,0.6363732030366495
GL21,SPL_early,2,0.09525334557089585
GL21,SPL_early,5,-0.15637845564783837
GL22,SPL_PMd,2,0.4992708948594575
GL22,SPL_PMd,5,0.32248888616471616
GL22,SPL_M1,2,0.3159928081141547
GL22,SPL_M1,5,0.3980096680717504
GL22,SPL_S1,2,0.1113583799693824
GL22,SPL_S1,5,-0.17928575863344604
GL22,SPL_dorsal,2,0.6764168673490647
GL22,SPL_dorsal,5,0.338467663342685
GL22,SPL_ventral,2,0.40921452127966923
GL22,SPL_ventral,5,0.22406486557042812
GL22,SPL_early,2,-0.04661899984150749
GL22,SPL_early,5,-0.033660399945217793
GL24,SPL_PMd,2,0.3875460982503497
GL24,SPL_PMd,5,0.3363607237164546
GL24,SPL_M1,2,0.5450192198775571
GL24,SPL_M1,5,0.44801708637140514
GL24,SPL_S1,2,-0.20347210621012016
GL24,SPL_S1,5,-0.025742321551025422
GL24,SPL_dorsal,2,0.5184444524235534
GL24,SPL_dorsal,5,0.23363184811807508
GL24,SPL_ventral,2,0.3719752177897623
GL24,SPL_ventral,5,0.2223435762387229
GL24,SPL_early,2,-0.21784844909836992
GL24,SPL_early,5,0.05843311537372669
GL25,SPL_PMd,2,0.24188663435070643
GL25,SPL_PMd,5,0.20312195131165037
GL25,SPL_M1,2,0.351369189731499
GL25,SPL_M1,5,0.2027534814298193
GL25,SPL_S1,2,0.027920525776801552
GL25,SPL_S1,5,0.0625405898073423
GL25,SPL_dorsal,2,0.5105873525663417
GL25,SPL_dorsal,5,0.38683667029021024
GL25,SPL_ventral,2,0.41830676941225364
GL25,SPL_ventral,5,0.41378576327250854
GL25,SPL_early,2,0.12073197397106057
