subj,block,success_rate,condition,run,stage
GL09,7,0.07048611111111111,nFB,1,early
GL10,7,0.007638888888888889,nFB,1,early
GL11,7,0.2902777777777778,nFB,1,early
GL12,7,0.011111111111111112,nFB,1,early
GL14,7,0.07604166666666666,nFB,1,early
GL15,7,0.14375,nFB,1,early
GL16,7,0.16527777777777777,nFB,1,early
GL17,7,0.06180555555555556,nFB,1,early
GL18,7,0.09340277777777778,nFB,1,early
GL19,7,0.009375,nFB,1,early
GL20,7,0.103125,nFB,1,early
GL21,7,0.008680555555555556,nFB,1,early
GL22,7,0.0020833333333333333,nFB,1,early
GL24,7,0.15138888888888888,nFB,1,early
GL25,7,0.1517361111111111,nFB,1,early
GL26,7,0.1892361111111111,nFB,1,early
GL27,7,0.00798611111111111,nFB,1,early
GL29,7,0.08090277777777778,nFB,1,early
GL03,8,0.27291666666666664,FB,1,early
GL04,8,0.41944444444444445,FB,1,early
GL05,8,0.08645833333333333,FB,1,early
GL06,8,0.16944444444444445,FB,1,early
GL07,8,0.10555555555555556,FB,1,early
GL08,8,0.5197916666666667,FB,1,early
GL09,8,0.09722222222222222,FB,1,early
GL10,8,0.25381944444444443,FB,1,early
GL11,8,0.3836805555555556,FB,1,early
GL12,8,0.10034722222222223,FB,1,early
GL14,8,0.5076388888888889,FB,1,early
GL15,8,0.3229166666666667,FB,1,early
GL16,8,0.2548611111111111,FB,1,early
GL17,8,0.171875,FB,1,early
GL18,8,0.27361111111111114,FB,1,early
GL19,8,0.2013888888888889,FB,1,early
GL20,8,0.278125,FB,1,early
GL21,8,0.05590277777777778,FB,1,early
GL22,8,0.3420138888888889,FB,1,early
GL24,8,0.35659722222222223,FB,1,early
GL25,8,0.39444444444444443,FB,1,early
GL26,8,0.16631944444444444,FB,1,early
GL27,8,0.08576388888888889,FB,1,early
GL29,8,0.33958333333333335,FB,1,early
GL03,9,0.090625,nFB,1,early
GL04,9,0.10798611111111112,nFB,1,early
GL05,9,0.008680555555555556,nFB,1,early
GL06,9,0.07291666666666667,nFB,1,early
GL07,9,0.022916666666666665,nFB,1,early
GL08,9,0.17673611111111112,nFB,1,early
GL09,9,0.041666666666666664,nFB,1,early
GL10,9,0.03576388888888889,nFB,1,early
GL11,9,0.2013888888888889,nFB,1,early
GL12,9,0.07604166666666666,nFB,1,early
GL14,9,0.010416666666666666,nFB,1,early
GL15,9,0.21909722222222222,nFB,1,early
GL16,9,0.265625,nFB,1,early
GL17,9,0.1284722222222222,nFB,1,early
GL18,9,0.04756944444444444,nFB,1,early
GL19,9,0.007291666666666667,nFB,1,early
GL20,9,0.1329861111111111,nFB,1,early
GL21,9,0.007291666666666667,nFB,1,early
GL22,9,0.015277777777777777,nFB,1,early
GL24,9,0.03715277777777778,nFB,1,early
GL25,9,0.14930555555555555,nFB,1,early
GL26,9,0.04131944444444444,nFB,1,early
GL27,9,0.003125,nFB,1,early
GL29,9,0.20555555555555555,nFB,1,early
GL03,10,0.3038194444444444,FB,1,early
GL04,10,0.41458333333333336,FB,1,early
GL05,10,0.14375,FB,1,early
GL06,10,0.20555555555555555,FB,1,early
GL07,10,0.19131944444444443,FB,1,early
GL08,10,0.3194444444444444,FB,1,early
GL09,10,0.2701388888888889,FB,1,early
GL10,10,0.1371527777777778,FB,1,early
GL11,10,0.33541666666666664,FB,1,early
GL12,10,0.05555555555555555,FB,1,early
GL14,10,0.55,FB,1,early
GL15,10,0.3684027777777778,FB,1,early
GL16,10,0.125,FB,1,early
GL17,10,0.25381944444444443,FB,1,early
GL18,10,0.23125,FB,1,early
GL19,10,0.27743055555555557,FB,1,early
GL20,10,0.14583333333333334,FB,1,early
GL21,10,0.022569444444444444,FB,1,early
GL22,10,0.28923611111111114,FB,1,early
GL24,10,0.4621527777777778,FB,1,early
GL25,10,0.25625,FB,1,early
GL26,10,0.21666666666666667,FB,1,early
GL27,10,0.2704861111111111,FB,1,early
GL29,10,0.5072916666666667,FB,1,early
GL03,11,0.08958333333333333,nFB,1,early
GL04,11,0.08506944444444445,nFB,1,early
GL05,11,0.09722222222222222,nFB,1,early
GL06,11,0.05451388888888889,nFB,1,early
GL07,11,0.011805555555555555,nFB,1,early
GL08,11,0.15486111111111112,nFB,1,early
GL09,11,0.15486111111111112,nFB,1,early
GL10,11,0.15694444444444444,nFB,1,early
GL11,11,0.14791666666666667,nFB,1,early
GL12,11,0.022569444444444444,nFB,1,early
GL14,11,0.08263888888888889,nFB,1,early
GL15,11,0.1371527777777778,nFB,1,early
GL16,11,0.35659722222222223,nFB,1,early
GL17,11,0.06319444444444444,nFB,1,early
GL18,11,0.134375,nFB,1,early
GL19,11,0.0125,nFB,1,early
GL20,11,0.08993055555555556,nFB,1,early
GL21,11,0.009375,nFB,1,early
GL22,11,0.06527777777777778,nFB,1,early
GL24,11,0.13090277777777778,nFB,1,early
GL25,11,0.12534722222222222,nFB,1,early
GL26,11,0.09340277777777778,nFB,1,early
GL27,11,0.0125,nFB,1,early
GL29,11,0.2565972222222222,nFB,1,early
GL03,12,0.471875,FB,2,early
GL04,12,0.5163194444444444,FB,2,early
GL05,12,0.2965277777777778,FB,2,early
GL06,12,0.3350694444444444,FB,2,early
GL07,12,0.24895833333333334,FB,2,early
GL08,12,0.40902777777777777,FB,2,early
GL09,12,0.25625,FB,2,early
GL10,12,0.3020833333333333,FB,2,early
GL11,12,0.22916666666666666,FB,2,early
GL12,12,0.2048611111111111,FB,2,early
GL14,12,0.6451388888888889,FB,2,early
GL15,12,0.1763888888888889,FB,2,early
GL16,12,0.44548611111111114,FB,2,early
GL17,12,0.44305555555555554,FB,2,early
GL18,12,0.44513888888888886,FB,2,early
GL19,12,0.3784722222222222,FB,2,early
GL20,12,0.14583333333333334,FB,2,early
GL21,12,0.06805555555555555,FB,2,early
GL22,12,0.23923611111111112,FB,2,early
GL24,12,0.46284722222222224,FB,2,early
GL25,12,0.33368055555555554,FB,2,early
GL26,12,0.22881944444444444,FB,2,early
GL27,12,0.26944444444444443,FB,2,early
GL29,12,0.4284722222222222,FB,2,early
GL03,13,0.09166666666666666,nFB,2,early
GL04,13,0.10208333333333333,nFB,2,early
GL05,13,0.06458333333333334,nFB,2,early
GL06,13,0.08055555555555556,nFB,2,early
GL07,13,0.05277777777777778,nFB,2,early
GL08,13,0.1076388888888889,nFB,2,early
GL09,13,0.06666666666666667,nFB,2,early
GL10,13,0.011805555555555555,nFB,2,early
GL11,13,0.052083333333333336,nFB,2,early
GL12,13,0.008680555555555556,nFB,2,early
GL14,13,0.09965277777777778,nFB,2,early
GL15,13,0.007638888888888889,nFB,2,early
GL16,13,0.23541666666666666,nFB,2,early
GL17,13,0.07569444444444444,nFB,2,early
GL18,13,0.13090277777777778,nFB,2,early
GL19,13,0.04097222222222222,nFB,2,early
GL20,13,0.09652777777777778,nFB,2,early
GL21,13,0.024652777777777777,nFB,2,early
GL22,13,0.028819444444444446,nFB,2,early
GL24,13,0.20798611111111112,nFB,2,early
GL25,13,0.34791666666666665,nFB,2,early
GL26,13,0.090625,nFB,2,early
GL27,13,0.014930555555555556,nFB,2,early
GL29,13,0.1527777777777778,nFB,2,early
GL03,14,0.5041666666666667,FB,2,early
GL04,14,0.5496527777777778,FB,2,early
GL05,14,0.2298611111111111,FB,2,early
GL06,14,0.440625,FB,2,early
GL07,14,0.19583333333333333,FB,2,early
GL08,14,0.49236111111111114,FB,2,early
GL09,14,0.15,FB,2,early
GL10,14,0.4309027777777778,FB,2,early
GL11,14,0.25069444444444444,FB,2,early
GL12,14,0.05277777777777778,FB,2,early
GL14,14,0.5465277777777777,FB,2,early
GL15,14,0.32708333333333334,FB,2,early
GL16,14,0.2482638888888889,FB,2,early
GL17,14,0.3798611111111111,FB,2,early
GL18,14,0.47152777777777777,FB,2,early
GL19,14,0.3368055555555556,FB,2,early
GL20,14,0.15,FB,2,early
GL21,14,0.16770833333333332,FB,2,early
GL22,14,0.3236111111111111,FB,2,early
GL24,14,0.4826388888888889,FB,2,early
GL25,14,0.33611111111111114,FB,2,early
GL26,14,0.24270833333333333,FB,2,early
GL27,14,0.20520833333333333,FB,2,early
GL29,14,0.2951388888888889,FB,2,early
GL03,15,0.13680555555555557,nFB,2,early
GL04,15,0.24479166666666666,nFB,2,early
GL05,15,0.04861111111111111,nFB,2,early
GL06,15,0.053125,nFB,2,early
GL07,15,0.003125,nFB,2,early
GL08,15,0.13819444444444445,nFB,2,early
GL09,15,0.08472222222222223,nFB,2,early
GL10,15,0.08854166666666667,nFB,2,early
GL11,15,0.017013888888888887,nFB,2,early
GL12,15,0.03125,nFB,2,early
GL14,15,0.1517361111111111,nFB,2,early
GL15,15,0.19375,nFB,2,early
GL16,15,0.21388888888888888,nFB,2,early
GL17,15,0.08298611111111111,nFB,2,early
GL18,15,0.05763888888888889,nFB,2,early
GL19,15,0.006597222222222222,nFB,2,early
GL20,15,0.01875,nFB,2,early
GL21,15,0.03715277777777778,nFB,2,early
GL22,15,0.01423611111111111,nFB,2,early
GL24,15,0.13020833333333334,nFB,2,early
GL25,15,0.08333333333333333,nFB,2,early
GL26,15,0.04861111111111111,nFB,2,early
GL27,15,0.010416666666666666,nFB,2,early
GL29,15,0.14097222222222222,nFB,2,early
GL03,16,0.5461805555555556,FB,2,early
GL04,16,0.4722222222222222,FB,2,early
GL05,16,0.37118055555555557,FB,2,early
GL06,16,0.16805555555555557,FB,2,early
GL07,16,0.10729166666666666,FB,2,early
GL08,16,0.47604166666666664,FB,2,early
GL09,16,0.2635416666666667,FB,2,early
GL10,16,0.14444444444444443,FB,2,early
GL11,16,0.184375,FB,2,early
GL12,16,0.05659722222222222,FB,2,early
GL14,16,0.6256944444444444,FB,2,early
GL15,16,0.28923611111111114,FB,2,early
GL16,16,0.3503472222222222,FB,2,early
GL17,16,0.32743055555555556,FB,2,early
GL18,16,0.35347222222222224,FB,2,early
GL19,16,0.28055555555555556,FB,2,early
GL20,16,0.16111111111111112,FB,2,early
GL21,16,0.06666666666666667,FB,2,early
GL22,16,0.28680555555555554,FB,2,early
GL24,16,0.4375,FB,2,early
GL25,16,0.38298611111111114,FB,2,early
GL26,16,0.146875,FB,2,early
GL27,16,0.16805555555555557,FB,2,early
GL29,16,0.2673611111111111,FB,2,early
GL03,17,0.1795138888888889,nFB,2,early
GL04,17,0.11180555555555556,nFB,2,early
GL05,17,0.08090277777777778,nFB,2,early
GL06,17,0.01597222222222222,nFB,2,early
GL07,17,0.09479166666666666,nFB,2,early
GL08,17,0.25416666666666665,nFB,2,early
GL09,17,0.1,nFB,2,early
GL10,17,0.023958333333333335,nFB,2,early
GL11,17,0.05659722222222222,nFB,2,early
GL12,17,0.042708333333333334,nFB,2,early
GL14,17,0.17395833333333333,nFB,2,early
GL15,17,0.06041666666666667,nFB,2,early
GL16,17,0.1638888888888889,nFB,2,early
GL17,17,0.06701388888888889,nFB,2,early
GL18,17,0.03854166666666667,nFB,2,early
GL19,17,0.006597222222222222,nFB,2,early
GL20,17,0.06631944444444444,nFB,2,early
GL21,17,0.0045138888888888885,nFB,2,early
GL22,17,0.19444444444444445,nFB,2,early
GL24,17,0.11493055555555555,nFB,2,early
GL25,17,0.08125,nFB,2,early
GL26,17,0.1232638888888889,nFB,2,early
GL27,17,0.03923611111111111,nFB,2,early
GL29,17,0.21284722222222222,nFB,2,early
GL03,18,0.46805555555555556,FB,2,early
GL04,18,0.37083333333333335,FB,2,early
GL05,18,0.33819444444444446,FB,2,early
GL06,18,0.22465277777777778,FB,2,early
GL07,18,0.23125,FB,2,early
GL08,18,0.3795138888888889,FB,2,early
GL09,18,0.25277777777777777,FB,2,early
GL10,18,0.2934027777777778,FB,2,early
GL11,18,0.4440972222222222,FB,2,early
GL12,18,0.033680555555555554,FB,2,early
GL14,18,0.6482638888888889,FB,2,early
GL15,18,0.35208333333333336,FB,2,early
GL16,18,0.2923611111111111,FB,2,early
GL17,18,0.22881944444444444,FB,2,early
GL18,18,0.6069444444444444,FB,2,early
GL19,18,0.2204861111111111,FB,2,early
GL20,18,0.2642361111111111,FB,2,early
GL21,18,0.125,FB,2,early
GL22,18,0.4378472222222222,FB,2,early
GL24,18,0.3614583333333333,FB,2,early
GL25,18,0.29131944444444446,FB,2,early
GL26,18,0.2465277777777778,FB,2,early
GL27,18,0.20972222222222223,FB,2,early
GL29,18,0.2878472222222222,FB,2,early
GL03,19,0.06770833333333333,nFB,2,early
GL04,19,0.06597222222222222,nFB,2,early
GL05,19,0.14895833333333333,nFB,2,early
GL06,19,0.018055555555555554,nFB,2,early
GL07,19,0.023958333333333335,nFB,2,early
GL08,19,0.16666666666666666,nFB,2,early
GL09,19,0.043055555555555555,nFB,2,early
GL10,19,0.08229166666666667,nFB,2,early
GL11,19,0.02361111111111111,nFB,2,early
GL12,19,0.07777777777777778,nFB,2,early
GL14,19,0.2520833333333333,nFB,2,early
GL15,19,0.00625,nFB,2,early
GL16,19,0.23541666666666666,nFB,2,early
GL17,19,0.08402777777777778,nFB,2,early
GL18,19,0.27569444444444446,nFB,2,early
GL19,19,0.017013888888888887,nFB,2,early
GL20,19,0.019097222222222224,nFB,2,early
GL21,19,0.006597222222222222,nFB,2,early
GL22,19,0.2298611111111111,nFB,2,early
GL24,19,0.04652777777777778,nFB,2,early
GL25,19,0.21493055555555557,nFB,2,early
GL26,19,0.0954861111111111,nFB,2,early
GL27,19,0.003472222222222222,nFB,2,early
GL29,19,0.11944444444444445,nFB,2,early
GL03,20,0.42951388888888886,FB,2,early
GL04,20,0.3951388888888889,FB,2,early
GL05,20,0.4045138888888889,FB,2,early
GL06,20,0.378125,FB,2,early
GL07,20,0.06215277777777778,FB,2,early
GL08,20,0.43819444444444444,FB,2,early
GL09,20,0.22465277777777778,FB,2,early
GL10,20,0.18854166666666666,FB,2,early
GL11,20,0.5138888888888888,FB,2,early
GL12,20,0.23368055555555556,FB,2,early
GL14,20,0.6840277777777778,FB,2,early
GL15,20,0.18611111111111112,FB,2,early
GL16,20,0.22951388888888888,FB,2,early
GL17,20,0.4170138888888889,FB,2,early
GL18,20,0.6052083333333333,FB,2,early
GL19,20,0.34791666666666665,FB,2,early
GL20,20,0.2795138888888889,FB,2,early
GL21,20,0.19930555555555557,FB,2,early
GL22,20,0.3875,FB,2,early
GL24,20,0.18611111111111112,FB,2,early
GL25,20,0.4482638888888889,FB,2,early
GL26,20,0.2965277777777778,FB,2,early
GL27,20,0.17847222222222223,FB,2,early
GL29,20,0.33819444444444446,FB,2,early
GL03,21,0.1951388888888889,nFB,2,early
GL04,21,0.15,nFB,2,early
GL05,21,0.05277777777777778,nFB,2,early
GL06,21,0.16041666666666668,nFB,2,early
GL07,21,0.05416666666666667,nFB,2,early
GL08,21,0.15520833333333334,nFB,2,early
GL09,21,0.06666666666666667,nFB,2,early
GL10,21,0.1423611111111111,nFB,2,early
GL11,21,0.06527777777777778,nFB,2,early
GL12,21,0.09027777777777778,nFB,2,early
GL14,21,0.14375,nFB,2,early
GL15,21,0.07881944444444444,nFB,2,early
GL16,21,0.209375,nFB,2,early
GL17,21,0.1371527777777778,nFB,2,early
GL18,21,0.3194444444444444,nFB,2,early
GL19,21,0.017361111111111112,nFB,2,early
GL20,21,0.022916666666666665,nFB,2,early
GL21,21,0.011111111111111112,nFB,2,early
GL22,21,0.103125,nFB,2,early
GL24,21,0.026041666666666668,nFB,2,early
GL25,21,0.2815972222222222,nFB,2,early
GL26,21,0.07777777777777778,nFB,2,early
GL27,21,0.0954861111111111,nFB,2,early
GL29,21,0.11701388888888889,nFB,2,early
GL03,22,0.36319444444444443,FB,2,early
GL04,22,0.23819444444444443,FB,2,early
GL05,22,0.3489583333333333,FB,2,early
GL06,22,0.3017361111111111,FB,2,early
GL07,22,0.22152777777777777,FB,2,early
GL08,22,0.44027777777777777,FB,2,early
GL09,22,0.2826388888888889,FB,2,early
GL10,22,0.396875,FB,2,early
GL11,22,0.55,FB,2,early
GL12,22,0.315625,FB,2,early
GL14,22,0.5847222222222223,FB,2,early
GL15,22,0.3902777777777778,FB,2,early
GL16,22,0.4444444444444444,FB,2,early
GL17,22,0.37881944444444443,FB,2,early
GL18,22,0.7190972222222223,FB,2,early
GL19,22,0.534375,FB,2,early
GL20,22,0.35520833333333335,FB,2,early
GL21,22,0.1684027777777778,FB,2,early
GL22,22,0.3579861111111111,FB,2,early
GL24,22,0.271875,FB,2,early
GL25,22,0.5045138888888889,FB,2,early
GL26,22,0.29131944444444446,FB,2,early
GL27,22,0.27708333333333335,FB,2,early
GL29,22,0.3375,FB,2,early
GL03,23,0.12916666666666668,nFB,2,early
GL04,23,0.1545138888888889,nFB,2,early
GL05,23,0.1597222222222222,nFB,2,early
GL06,23,0.03333333333333333,nFB,2,early
GL07,23,0.05277777777777778,nFB,2,early
GL08,23,0.034027777777777775,nFB,2,early
GL09,23,0.09861111111111111,nFB,2,early
GL10,23,0.14201388888888888,nFB,2,early
GL11,23,0.14027777777777778,nFB,2,early
GL12,23,0.06180555555555556,nFB,2,early
GL14,23,0.11805555555555555,nFB,2,early
GL15,23,0.03958333333333333,nFB,2,early
GL16,23,0.19444444444444445,nFB,2,early
GL17,23,0.0125,nFB,2,early
GL18,23,0.39444444444444443,nFB,2,early
GL19,23,0.013888888888888888,nFB,2,early
GL20,23,0.06180555555555556,nFB,2,early
GL21,23,0.022569444444444444,nFB,2,early
GL22,23,0.18784722222222222,nFB,2,early
GL24,23,0.009027777777777777,nFB,2,early
GL25,23,0.31979166666666664,nFB,2,early
GL26,23,0.05520833333333333,nFB,2,early
GL27,23,0.025,nFB,2,early
GL29,23,0.10798611111111112,nFB,2,early
GL03,24,0.584375,FB,3,late
GL04,24,0.5680555555555555,FB,3,late
GL05,24,0.46145833333333336,FB,3,late
GL06,24,0.328125,FB,3,late
GL07,24,0.3,FB,3,late
GL08,24,0.5173611111111112,FB,3,late
GL09,24,0.2791666666666667,FB,3,late
GL10,24,0.43159722222222224,FB,3,late
GL11,24,0.503125,FB,3,late
GL12,24,0.2659722222222222,FB,3,late
GL14,24,0.5996527777777778,FB,3,late
GL15,24,0.37118055555555557,FB,3,late
GL16,24,0.5788194444444444,FB,3,late
GL17,24,0.42256944444444444,FB,3,late
GL18,24,0.7253472222222223,FB,3,late
GL19,24,0.23541666666666666,FB,3,late
GL20,24,0.3267361111111111,FB,3,late
GL21,24,0.16875,FB,3,late
GL22,24,0.4479166666666667,FB,3,late
GL24,24,0.33645833333333336,FB,3,late
GL25,24,0.5315972222222223,FB,3,late
GL26,24,0.3732638888888889,FB,3,late
GL27,24,0.4305555555555556,FB,3,late
GL29,24,0.47638888888888886,FB,3,late
GL03,25,0.07430555555555556,nFB,3,late
GL04,25,0.10277777777777777,nFB,3,late
GL05,25,0.03819444444444445,nFB,3,late
GL06,25,0.04201388888888889,nFB,3,late
GL07,25,0.025694444444444443,nFB,3,late
GL08,25,0.09895833333333333,nFB,3,late
GL09,25,0.04722222222222222,nFB,3,late
GL10,25,0.16319444444444445,nFB,3,late
GL11,25,0.10555555555555556,nFB,3,late
GL12,25,0.06076388888888889,nFB,3,late
GL14,25,0.3715277777777778,nFB,3,late
GL15,25,0.08888888888888889,nFB,3,late
GL16,25,0.4461805555555556,nFB,3,late
GL17,25,0.05277777777777778,nFB,3,late
GL18,25,0.40208333333333335,nFB,3,late
GL19,25,0.010069444444444445,nFB,3,late
GL20,25,0.16597222222222222,nFB,3,late
GL21,25,0.11875,nFB,3,late
GL22,25,0.14305555555555555,nFB,3,late
GL24,25,0.20173611111111112,nFB,3,late
GL25,25,0.34930555555555554,nFB,3,late
GL26,25,0.25069444444444444,nFB,3,late
GL27,25,0.005555555555555556,nFB,3,late
GL29,25,0.20833333333333334,nFB,3,late
GL03,26,0.5833333333333334,FB,3,late
GL04,26,0.3701388888888889,FB,3,late
GL05,26,0.32083333333333336,FB,3,late
GL06,26,0.37916666666666665,FB,3,late
GL07,26,0.20451388888888888,FB,3,late
GL08,26,0.47152777777777777,FB,3,late
GL09,26,0.28715277777777776,FB,3,late
GL10,26,0.44583333333333336,FB,3,late
GL11,26,0.3885416666666667,FB,3,late
GL12,26,0.15347222222222223,FB,3,late
